station_id,station_name,year,month,month_total
40810,Medical Center,2024,9,36157
40220,Western-Forest Park,2024,9,17190
40250,Kedzie-Homan-Forest Park,2024,9,25481
40920,Pulaski-Forest Park,2024,9,17945
40970,Cicero-Forest Park,2024,9,15949
40010,Austin-Forest Park,2024,9,18094
40180,Oak Park-Forest Park,2024,9,15165
40980,Harlem-Forest Park,2024,9,10448
40390,Forest Park,2024,9,31089
41030,Polk,2024,9,60956
40830,18th,2024,9,39260
40210,Damen-Cermak,2024,9,33815
40740,Western-Cermak,2024,9,24970
40440,California-Cermak,2024,9,38530
41040,Kedzie-Cermak,2024,9,33136
40780,Central Park,2024,9,22999
40150,Pulaski-Cermak,2024,9,21689
40600,Kostner,2024,9,8103
40420,Cicero-Cermak,2024,9,26299
40580,54th/Cermak,2024,9,46941
40020,Harlem-Lake,2024,9,58492
41350,Oak Park-Lake,2024,9,21820
40610,Ridgeland,2024,9,18828
41260,Austin-Lake,2024,9,26497
40280,Central-Lake,2024,9,35790
40700,Laramie,2024,9,17644
40480,Cicero-Lake,2024,9,21571
40030,Pulaski-Lake,2024,9,25206
41670,Conservatory,2024,9,16338
41070,Kedzie-Lake,2024,9,20601
41360,California-Lake,2024,9,21061
41710,Damen-Lake,2024,9,19762
40170,Ashland-Lake,2024,9,51941
41510,Morgan-Lake,2024,9,101936
41160,Clinton-Lake,2024,9,70452
41690,Cermak-McCormick Place,2024,9,38428
41120,35-Bronzeville-IIT,2024,9,32509
40300,Indiana,2024,9,11460
41270,43rd,2024,9,14733
41080,47th-South Elevated,2024,9,16355
40130,51st,2024,9,15709
40510,Garfield-South Elevated,2024,9,19757
41140,King Drive,2024,9,7733
40720,East 63rd-Cottage Grove,2024,9,17090
40940,Halsted/63rd,2024,9,8941
40290,Ashland/63rd,2024,9,16745
41290,Kimball,2024,9,76015
41180,Kedzie-Brown,2024,9,35434
40870,Francisco,2024,9,25304
41010,Rockwell,2024,9,27825
41480,Western-Brown,2024,9,52490
40090,Damen-Brown,2024,9,44971
41500,Montrose-Brown,2024,9,38536
41460,Irving Park-Brown,2024,9,44659
41440,Addison-Brown,2024,9,33154
41310,Paulina,2024,9,45820
40360,Southport,2024,9,63059
41210,Wellington,2024,9,50138
40530,Diversey,2024,9,84902
40660,Armitage,2024,9,75658
40800,Sedgwick,2024,9,72106
40710,Chicago/Franklin,2024,9,111080
40460,Merchandise Mart,2024,9,101858
40930,Midway Airport,2024,9,147693
40960,Pulaski-Orange,2024,9,87900
41150,Kedzie-Midway,2024,9,62179
40310,Western-Orange,2024,9,67260
40120,35th/Archer,2024,9,49285
41060,Ashland-Orange,2024,9,31807
41130,Halsted-Orange,2024,9,49923
40730,Washington/Wells,2024,9,111490
40040,Quincy/Wells,2024,9,120419
40160,LaSalle/Van Buren,2024,9,41927
40850,Library,2024,9,74816
40680,Adams/Wabash,2024,9,130595
41700,Washington/Wabash,2024,9,167117
40260,State/Lake,2024,9,237731
40380,Clark/Lake,2024,9,264901
40900,Howard,2024,10,98065
41190,Jarvis,2024,10,33116
40100,Morse,2024,10,78848
41300,Loyola,2024,10,119483
40760,Granville,2024,10,81268
40880,Thorndale,2024,10,59580
41380,Bryn Mawr,2024,10,53111
40340,Berwyn,2024,10,0
41200,Argyle,2024,10,91597
40770,Lawrence,2024,10,0
40540,Wilson,2024,10,174210
40080,Sheridan,2024,10,84819
41420,Addison-North Main,2024,10,142106
41320,Belmont-North Main,2024,10,226438
41220,Fullerton,2024,10,292615
40650,North/Clybourn,2024,10,109127
40630,Clark/Division,2024,10,164273
41450,Chicago/State,2024,10,247101
40330,Grand/State,2024,10,204083
41660,Lake/State,2024,10,324209
41090,Monroe/State,2024,10,121723
40560,Jackson/State,2024,10,142382
41490,Harrison,2024,10,85939
41400,Roosevelt,2024,10,232343
41000,Cermak-Chinatown,2024,10,119394
40190,Sox-35th-Dan Ryan,2024,10,59791
41230,47th-Dan Ryan,2024,10,40897
41170,Garfield-Dan Ryan,2024,10,53841
40910,63rd-Dan Ryan,2024,10,40990
40990,69th,2024,10,68101
40240,79th,2024,10,92033
41430,87th,2024,10,53391
40450,95th/Dan Ryan,2024,10,135276
41050,Linden,2024,10,14317
41250,Central-Evanston,2024,10,11396
40400,Noyes,2024,10,18664
40520,Foster,2024,10,13543
40050,Davis,2024,10,54277
40690,Dempster,2024,10,13924
40270,Main,2024,10,18946
40840,South Boulevard,2024,10,11300
40140,Dempster-Skokie,2024,10,23077
41680,Oakton-Skokie,2024,10,14341
40890,O'Hare Airport,2024,10,310891
40820,Rosemont,2024,10,124301
40230,Cumberland,2024,10,67187
40750,Harlem-O'Hare,2024,10,45878
41280,Jefferson Park,2024,10,134813
41330,Montrose-O'Hare,2024,10,49656
40550,Irving Park-O'Hare,2024,10,79837
41240,Addison-O'Hare,2024,10,53361
40060,Belmont-O'Hare,2024,10,101513
41020,Logan Square,2024,10,128388
40570,California/Milwaukee,2024,10,98943
40670,Western/Milwaukee,2024,10,101104
40590,Damen/Milwaukee,2024,10,121964
40320,Division/Milwaukee,2024,10,116275
41410,Chicago/Milwaukee,2024,10,76961
40490,Grand/Milwaukee,2024,10,66456
40370,Washington/Dearborn,2024,10,224555
40790,Monroe/Dearborn,2024,10,111473
40070,Jackson/Dearborn,2024,10,123057
41340,LaSalle,2024,10,56132
40430,Clinton-Forest Park,2024,10,57672
40350,UIC-Halsted,2024,10,139834
40470,Racine,2024,10,22827
40810,Medical Center,2024,10,42025
40220,Western-Forest Park,2024,10,18602
40250,Kedzie-Homan-Forest Park,2024,10,25649
40920,Pulaski-Forest Park,2024,10,19700
40970,Cicero-Forest Park,2024,10,16781
40010,Austin-Forest Park,2024,10,19351
40180,Oak Park-Forest Park,2024,10,16764
40980,Harlem-Forest Park,2024,10,11472
40390,Forest Park,2024,10,34846
41030,Polk,2024,10,68158
40830,18th,2024,10,44505
40210,Damen-Cermak,2024,10,35741
40740,Western-Cermak,2024,10,26237
40440,California-Cermak,2024,10,30972
41040,Kedzie-Cermak,2024,10,24928
40780,Central Park,2024,10,23559
40150,Pulaski-Cermak,2024,10,23121
40600,Kostner,2024,10,8654
40420,Cicero-Cermak,2024,10,27105
40580,54th/Cermak,2024,10,48641
40020,Harlem-Lake,2024,10,61811
41350,Oak Park-Lake,2024,10,23994
40610,Ridgeland,2024,10,20476
41260,Austin-Lake,2024,10,28401
40280,Central-Lake,2024,10,36941
40700,Laramie,2024,10,19823
40480,Cicero-Lake,2024,10,22166
40030,Pulaski-Lake,2024,10,27086
41670,Conservatory,2024,10,16717
41070,Kedzie-Lake,2024,10,22082
41360,California-Lake,2024,10,22121
41710,Damen-Lake,2024,10,27771
40170,Ashland-Lake,2024,10,54171
41510,Morgan-Lake,2024,10,114739
41160,Clinton-Lake,2024,10,78156
41690,Cermak-McCormick Place,2024,10,62824
41120,35-Bronzeville-IIT,2024,10,34948
40300,Indiana,2024,10,12379
41270,43rd,2024,10,16264
41080,47th-South Elevated,2024,10,17702
40130,51st,2024,10,17039
40510,Garfield-South Elevated,2024,10,22275
41140,King Drive,2024,10,8222
40720,East 63rd-Cottage Grove,2024,10,18623
40940,Halsted/63rd,2024,10,9875
40290,Ashland/63rd,2024,10,17885
41290,Kimball,2024,10,79004
41180,Kedzie-Brown,2024,10,38273
40870,Francisco,2024,10,26630
41010,Rockwell,2024,10,33375
41480,Western-Brown,2024,10,53081
40090,Damen-Brown,2024,10,51267
41500,Montrose-Brown,2024,10,41810
41460,Irving Park-Brown,2024,10,52050
41440,Addison-Brown,2024,10,37417
41310,Paulina,2024,10,51474
40360,Southport,2024,10,65931
41210,Wellington,2024,10,56507
40530,Diversey,2024,10,97484
40660,Armitage,2024,10,84942
40800,Sedgwick,2024,10,82558
40710,Chicago/Franklin,2024,10,121589
40460,Merchandise Mart,2024,10,117060
40930,Midway Airport,2024,10,156209
40960,Pulaski-Orange,2024,10,95605
41150,Kedzie-Midway,2024,10,66786
40310,Western-Orange,2024,10,72221
40120,35th/Archer,2024,10,53204
41060,Ashland-Orange,2024,10,34374
41130,Halsted-Orange,2024,10,54211
40730,Washington/Wells,2024,10,128123
40040,Quincy/Wells,2024,10,139445
40160,LaSalle/Van Buren,2024,10,48249
40850,Library,2024,10,78389
40680,Adams/Wabash,2024,10,151342
41700,Washington/Wabash,2024,10,185343
40260,State/Lake,2024,10,261618
40380,Clark/Lake,2024,10,314835
40900,Howard,2024,11,87661
41190,Jarvis,2024,11,28520
40100,Morse,2024,11,69694
41300,Loyola,2024,11,99124
40760,Granville,2024,11,69187
40880,Thorndale,2024,11,50871
