the_geom,station_id,longname,lines,address,ada,pknrd,point_x,point_y,legend
POINT (-87.62781338044591 41.88480886783524),1660,Lake/State,Red Line,188 N. State,True,False,1176365.32127889,1901404.02433966,Red Line
POINT (-87.67953792271051 42.03345571051573),270,Main,"Purple Line, Evanston Express",836 N. Chicago Avenue,False,False,1161867.21515339,1955459.94323801,Multiple Lines
POINT (-87.725624930077 41.87388872444464),920,Pulaski-Congress,Blue Line (Congress),530 S. Pulaski Road,False,False,1149758.98320612,1897220.94772777,Blue Line
POINT (-87.72917726558204 41.952940261723505),550,Irving Park-O'Hare,Blue Line,4131 W. Irving Park Road,False,False,1148588.58858103,1926020.53969059,Blue Line
POINT (-87.6691601248801 41.85790770843142),830,18th,Pink Line,1710 W. 18th Street,True,False,1165182.26334848,1891511.43450645,Pink Line
POINT (-87.61554588356856 41.780129716720246),1140,King Drive,Green Line,400 E. 63rd Street,True,False,1180024.5514903,1863287.02462416,Green Line
POINT (-87.61832410779981 41.795176653771136),510,Garfield-South Elevated,Green Line,320 E. Garfield Boulevard,True,True,1179221.19584155,1868763.71813326,Green Line
POINT (-87.68356032638904 42.05416022489172),520,Foster,"Purple Line, Evanston Express",900 W. Foster Street,False,False,1160717.13515232,1962996.53230102,Multiple Lines
POINT (-87.74534200985961 41.851924714963396),420,Cicero-Douglas,Pink Line,2133 S. 48th Court,True,False,1144443.84387317,1889179.92090428,Pink Line
POINT (-87.65852996352429 41.973453322879514),1200,Argyle,Red Line,1118 W. Argyle Street,False,False,1167746.82808687,1933638.97732968,Red Line
POINT (-87.63397336028807 41.888967933815984),460,Merchandise Mart,"Brown, Purple (Express)",350 N. Wells Street,True,False,1174675.57817332,1902905.85602106,Multiple Lines
POINT (-87.62817635256233 41.89667121282868),1450,Chicago/State,Red Line,800 N. State Street,True,False,1176230.95814277,1905725.84936769,Red Line
POINT (-87.63385352993139 41.882695018498964),730,Washington/Wells,"Brown, Orange, Pink, Purple (Express)",100 N. Wells Street,True,False,1174726.83884537,1900620.27445093,Multiple Lines
POINT (-87.65773404557505 41.96425415994733),540,Wilson,"Purple, Red Line",4920 N. Broadway Street,True,False,1168029.49407113,1930295.53438257,Multiple Lines
POINT (-87.79378335175879 41.8869875216134),1350,Oak Park-Lake,Green Line (Lake),100 S. Oak Park Avenue,False,False,1131166.0096208,1901870.0672201,Green Line
POINT (-87.73795637168769 41.7866135510346),930,Midway Airport,Orange Line,4612 W. 59th Street,True,True,1146620.91702719,1865394.75454613,Orange Line
POINT (-87.65521427917491 41.89607523740354),1410,Chicago/Milwaukee,Blue Line,800 N. Milwaukee Avenue,False,False,1168871.48498392,1905449.33352743,Blue Line
POINT (-87.63373997596631 41.87872328348997),40,Quincy/Wells,"Brown, Orange, Pink, Purple (Express)",220 S. Wells Street,True,False,1174769.55910141,1899173.22932958,Multiple Lines
POINT (-87.65264430600404 41.9182165680886),660,Armitage,"Brown, Purple (Express)",944 W. Armitage Avenue,True,False,1169507.15116051,1913523.19132695,Multiple Lines
POINT (-87.65212799206752 41.88557678872635),1510,Morgan,"Green (Lake), Pink",1000 W Lake St,True,False,1169742.11896873,1901630.35829187,Multiple Lines
POINT (-87.75498649428108 41.88716322654387),700,Laramie,Green Line (Lake),5148 W. Lake Street,True,False,1141729.75260664,1902002.90459622,Green Line
